,Address,ITM_E,ITM_N,Geo Co-ordinates
562,"Turlough, Castlebar, mayo",520245,794080,POINT (-9.213276614715443 53.88998951445905)
563,"Kilgalligan, Carrowteigue, Ballina, mayo",572840,673176,POINT (-8.40284170679292 52.80888238876684)
564,"Derrycoosh, Castlebar, mayo",511538,786335,POINT (-9.343463411934106 53.81899944240306)
565,"Castlerickard, Longwood, meath",672205,749532,POINT (-6.911923835760063 53.49084173022562)
566,"Towlagh, Clonard, meath",688063,768372,POINT (-6.667708611867138 53.65768947099826)
567,"Rooske Road, Castlefarm, , Dunboyne, meath",700038,742750,POINT (-6.494794718237596 53.42536158781338)
568,"MAIN STREET, BALLIVOR, meath",688063,768372,POINT (-6.667708611867138 53.65768947099826)
569,"Doogary, Tydavnet, monaghan",664975,840584,POINT (-7.001537485851093 54.30986327340801)
570,"Tullycroman, Monaghan, monaghan",663989,834546,POINT (-7.017977826165122 54.25574115887979)
571,"Raheen, Clara, offaly",625572,677644,POINT (-7.620361307341198 52.84911620921529)
572,"Collins Lane, Arden, Tullamore, offaly",624465,722747,POINT (-7.633371150472769 53.25451689537456)
573,"KILLELLERY, GEASHILL, offaly",642893,720325,POINT (-7.357552873769297 53.23158259951673)
574,"Slevinagee Td, Roscommon, roscommon",575243,781713,POINT (-8.375663064850881 53.78439976874244)
575,"TUBBERCURRY ROAD, BALLYMOTE, sligo",565594,816752,POINT (-8.526017309626614 54.09869997894671)
576,"Carrowreagh Knox, Tubbercurry, sligo",569339,818185,POINT (-8.468909243033416 54.11181280669435)
577,"CASTLESHEELA, DROMINEER, tipperary",580793,684074,POINT (-8.285525498860178 52.90717052001229)
578,"Gurtnapisha, Cloneen , Cloneen, tipperary",613375,686884,POINT (-7.801054853188454 52.93260217182398)
579,"Garrynatineel, Ballina, tipperary",570335,671012,POINT (-8.439798907625974 52.78930153769895)
580,"Lisbalting, Kilsheelan, Clonmel, tipperary",628374,623942,POINT (-7.583370166439141 52.36631257030891)
581,"Clonea Road, Dungarvan, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
582,"Clonea Road, Dungarvan, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
583,"kill, carigeen, waterford",616063,737255,POINT (-7.758545938951222 53.38521933489444)
584,"Templemacateer, Moate, westmeath",626323,739604,POINT (-7.604128189298268 53.40591745452178)
585,"Raharney , Mullingar, westmeath",659249,752780,POINT (-7.106518747005717 53.52164464205409)
586,"Irishtown, Mullingar, westmeath",610352,699577,POINT (-7.8456137347712 53.04674645689052)
587,"Creakan Lower, New Ross, wexford",671816,624099,POINT (-6.945537436563623 52.36375398035166)
588,"Pullingstown Big, Marshalstown, wexford",694454,644749,POINT (-6.607398617178176 52.54587497230434)
589,"Whittyshill, Harristown, Ballymitty, wexford",687749,710358,POINT (-6.688582935948094 53.13651747816831)
590,"Ballyroe, Edermine, wexford",700814,634282,POINT (-6.516830602344799 52.45068694625904)
591,"Kiltilahane, Askamore, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
592,"Ballymackesy, Clonroche, Enniscorthy, wexford",687234,633744,POINT (-6.71670058779785 52.44818869677801)
593,"Barnahask, Curracloe, wexford",688388,655257,POINT (-6.694002959205092 52.64131524361972)
594,"LAKE, BRIDGETOWN, wexford",699273,609397,POINT (-6.54684333474481 52.22736354333793)
595,"Raheen Park, Bray, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
596,"St Cronans , Main Street, Bray, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
597,"Raverty Villas, Bray, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
598,"Boghall Cottages, Bray, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
599,"Pound Lane, Borris, carlow",672306,650116,POINT (-6.932700633227415 52.5974963287176)
600,"Rathellen, Leighlinbridge, carlow",667871,663241,POINT (-6.995453536406171 52.71601715107746)
601,"Billis , Cavan, cavan",643109,806259,POINT (-7.342425733527603 54.00376244019979)
602,"CORRAGLOON, MULLAGH, cavan",664389,789065,POINT (-7.021489530633201 53.84706523050765)
603,"""The Green"", Killaloe, clare",567755,672852,POINT (-8.478228694611879 52.80569052158855)
604,"Cragg, Tulla, clare",548199,681225,POINT (-8.76957175988897 52.87941474987382)
605,"Slievecallan, Knockalassa, clare",529487,679574,POINT (-9.047161723654614 52.86245231921442)
606,"Lisgool North, Leamlara, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
607,"Oughtihery, Rylane, cork",540557,580156,POINT (-8.865122802434785 51.97028917501876)
608,"Bawnaknockane, Ballydehob, cork",498833,537131,POINT (-9.459666233442745 51.57762459118489)
609,"Burgess Lower, Killeagh, cork",568002,583678,POINT (-8.466042062259968 52.00420422919214)
610,"Brahalish, Durrus, Bantry, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
611,"Felane East., Castletownbere, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
612,"Rearour, Ballinhassig, cork",549862,563446,POINT (-8.727283379423909 51.821009735665)
613,"Goulane North , Donoughmore, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
614,"Kilquane,, knockraha, cork",576970,580790,POINT (-8.335234588409003 51.9786887823775)
615,"Ballinluska, Myrtleville, cork",579160,559368,POINT (-8.302063144447784 51.78621209622055)
616,"Cusduff, Castletreasure, Douglas, cork",569729,567316,POINT (-8.439450669163238 51.8572259631992)
617,"Valleyview, Kilmacahill,, Cloyne, cork",590319,569262,POINT (-8.140597708145858 51.87545563779782)
618,"KNOCKATOOR, CARRIGALINE, cork",573096,559044,POINT (-8.389930082775557 51.7830409793393)
619,"West Link, Togher Business Park, , Ballycurreen ,Togher, cork",577283,575316,POINT (-8.330316744759806 51.92949641882898)
620,"Killagrohan, Mallow, cork",552702,600063,POINT (-8.691138425767457 52.15038374412443)
621,"Barrachauring, Donoughmore, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
622,"Long Island, Schull, cork",491678,528191,POINT (-9.560111025078436 51.49595759892669)
623,"Killard, Blarney, cork",562103,574525,POINT (-8.550945792820498 51.92156016259305)
624,"Farranthomas, Newcestown, cork",539560,558255,POINT (-8.875798723076711 51.77333284825369)
625,"Loughane East , Blarney, cork",557592,577652,POINT (-8.616908091339509 51.94934219214675)
626,"Straboy, Glenties, donegal",582637,897641,POINT (-8.270205283282849 54.826356362581)
627,"Carthage, Culdaff, donegal",652094,951158,POINT (-7.179570888039719 55.30471716313534)
628,"Hornhead Road , Dunfanaghy, donegal",598999,935326,POINT (-8.015709500435902 55.1652350408332)
629,"Muntermellan, Dunfanaghy, donegal",601880,939190,POINT (-7.97046998627983 55.19994732320923)
630,"Churchland Quarters, Carndonagh, donegal",642961,945677,POINT (-7.324231045125583 55.25636044400932)
631,"Woodhill, Dunfanaghy, donegal",603562,936308,POINT (-7.944086329296954 55.17404571145092)
632,"Cullion, Letterkenny, donegal",612419,871728,POINT (-7.80783726269676 54.59367944978838)
633,"Dromore, Mountcharles, donegal",596307,800616,POINT (-8.056265790484565 53.95483993726831)
634,"Umlagh, Carrigart, donegal",612721,935511,POINT (-7.800351454180855 55.16673468816028)
635,"Galdonagh, Newtowncunningham, donegal",627585,910830,POINT (-7.56946107935885 54.94439286314071)
636,"Cappry, Ballybofey, donegal",611770,894465,POINT (-7.81696214639075 54.79798354038954)
637,"Mullindrait, Ballybofey, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
638,"Clonmass, Dunfanaghy, donegal",606330,935701,POINT (-7.900649908998606 55.16856465435307)
639,"Knockogonnell, Ballymoe, galway",567966,770248,POINT (-8.484893446669092 53.68097830149978)
640,"Ballymore, Craughwell, galway",551205,720765,POINT (-8.730906645623227 53.23502740891489)
641,"Longford, Ballycrissane, galway",515502,817849,POINT (-9.292005583038568 54.10277163384163)
642,"Tarrea, Ballindereen, galway",537442,712940,POINT (-8.935505270989692 53.16327014318309)
643,"Furrymelia West, Barna, galway",525246,724992,POINT (-9.120674868453044 53.26999045389894)
644,"Toorkeel, Athenry, galway",554805,730514,POINT (-8.678371915351081 53.3229542448658)
645,"DEERPARK, ATHENRY, galway",552349,725438,POINT (-8.714471411058526 53.2771245244453)
646,"Attimonmore South, Athenry, galway",558524,729835,POINT (-8.622465116259676 53.31715676313158)
647,"CARNMORE, GALWAY, galway",541907,729018,POINT (-8.871673680890641 53.30825360949778)
648,"The Links, Ballybunion, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
649,"Countess Road, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
650,"Ballinknockane, Camp, Tralee, kerry",496288,609533,POINT (-9.518152177389526 52.22776787518949)
651,"Upper Church Street, Listowel, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
652,"Kylebeg, Tralee, kerry",488066,614501,POINT (-9.640101304949789 52.27079594586593)
653,"clogherbrien, tralee, kerry",481137,616463,POINT (-9.742269700291986 52.28696987510811)
654,"Bridge Street, Cahersiveen, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
655,"Rock Street, Tralee, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
656,"College Street, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
657,"Lisloose, Tralee, kerry",483727,616483,POINT (-9.704331320648313 52.28770340794134)
658,"Ballyoughteragh South, Ballyferriter, Dingle, kerry",434249,604010,POINT (-10.42287254576982 52.16300189204808)
659,"New Road,, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
660,"Straffan Road, Maynooth, kildare",693661,737030,POINT (-6.592409558812937 53.37514282190008)
661,"Balyna, Moyvalley, kildare",675734,718749,POINT (-6.86612037547459 53.21375613205474)
662,"Maynooth Road, Celbridge, kildare",696055,733296,POINT (-6.557576929012339 53.34116678754172)
663,"Tully East, Kildare, kildare",673666,710281,POINT (-6.899025815696561 53.13795726365537)
664,"Coonagh, Carbury, kildare",671353,733850,POINT (-6.928309633880564 53.35005143914051)
665,"Kilheale Manor, Hartwell Road, Kill, kildare",692654,722760,POINT (-6.61170482228682 53.24711386521356)
666,"The Square, Kilcock, kildare",687614,738448,POINT (-6.682866898960798 53.38891963749614)
667,"Damma Upper, Ballyhendricken, kilkenny",644310,653943,POINT (-7.345394508824733 52.63489402377455)
668,"Kilcross, Inistioge, kilkenny",665233,638384,POINT (-7.039392084448794 52.49295697275252)
669,"Julianstown, Ballyfoyle, kilkenny",652310,668008,POINT (-7.224983212797079 52.76058564538235)
670,"Kilmacar, Ballyragget, kilkenny",649016,669101,POINT (-7.273618737621267 52.77071730202479)
671,"St kierans Place, Urlingford, kilkenny",629584,663755,POINT (-7.562056571495548 52.72408326303872)
672,"Kilmurry, Stradbally, laois",640129,729740,POINT (-7.397761215747551 53.31640680221679)
673,"BALLINLOUGH, BALLYROAN, laois",645711,686882,POINT (-7.320100317131511 52.93080573687897)
674,"Edergole Dromahair by,Ardnakip More, Killananiana, Dromahaire, leitrim",592408,820874,POINT (-8.116176657272678 54.13683282783802)
675,"Ballycampion, Bruff, limerick",562805,637075,POINT (-8.547608107271568 52.48382337793573)
676,"Mountshannon Road, Lisnagry, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
677,"Ahacore, Abington, limerick",570892,654129,POINT (-8.430046664722493 52.63759362448375)
678,"Laghtane East , Lisnagry, limerick",567370,657450,POINT (-8.482407811954911 52.66724138444065)
679,"Dunganville Upper, Ardagh, limerick",525430,638006,POINT (-9.097992349460618 52.48836408345817)
680,"Annagh, Lisnagry, limerick",545061,741151,POINT (-8.826461199554473 53.41761674483585)
681,"Gortavalla South, Doon, limerick",579724,648507,POINT (-8.299218868288712 52.58746526197829)
682,"odellville, ballynarooga beg, ballingarry, limerick",540314,635263,POINT (-8.878376042745609 52.46554284957187)
683,"Drumure, Longford, longford",615522,780260,POINT (-7.764540358728151 53.77169993896006)
684,"Hale St,, Ardee, louth",700747,795264,POINT (-6.467105188656862 53.89697401999561)
685,"PORT, TOGHER, louth",713870,789341,POINT (-6.269727274150824 53.84105883186043)
686,"Cluide Lodge, Cluide, Dunleer, louth",706146,789091,POINT (-6.387127905445362 53.84044793838678)
687,"Coonealcauraun, Killala, mayo",521324,824591,POINT (-9.204764024378857 54.16426275232809)
688,"Eden, Knock, mayo",541314,785040,POINT (-8.891086999207136 53.81157555183168)
689,"Levallinree, Parke, Castlebar, mayo",530569,832458,POINT (-9.065040407156916 54.23627341400737)
690,"Carrowbrinogue, Snugboro, Castlebar, mayo",511244,799206,POINT (-9.351651330446847 53.93457765877444)
691,"Carrowkelly, Ballina, mayo",524785,824044,POINT (-9.151641432390166 54.15986701969364)
692,"Cloncullen, Robinstown, meath",683077,760208,POINT (-6.745297925329046 53.58515664950314)
693,"Monknewtown, Slane, meath",699230,775519,POINT (-6.496539154040335 53.71989476009877)
694,"Cushinstown, Garristown, meath",702453,759116,POINT (-6.453128862343029 53.57192104889394)
695,"Ballygarth, Julianstown, meath",714372,770129,POINT (-6.269213853963332 53.6683827983458)
696,"Seraghstown, Crossakiel, meath",663515,772001,POINT (-7.038280431653359 53.69385251940886)
697,"Fowlerstown, Stamullen, meath",708748,764671,POINT (-6.356190111132146 53.620554367844)
698,"Baltigeer, Kinnegad, meath",655036,742972,POINT (-7.171761772344436 53.43396990271829)
699,"Trevet, Dunshaughlin, meath",696622,755963,POINT (-6.542109378246183 53.54470125555485)
700,"Grangend, Dunshaughlin, meath",696837,752808,POINT (-6.539841957317888 53.51631801990752)
701,"Feragh, Dunraymond, monaghan",669293,828856,POINT (-6.9379069093219 54.2039315040826)
702,"Drummuck, Corcaghan, monaghan",665547,828398,POINT (-6.995413761702649 54.20030910963366)
703,"Ballycowan, Tullamore, offaly",629384,725039,POINT (-7.559446283874957 53.27486515133631)
704,"Cloncasin, Clonbullogue, offaly",624465,722747,POINT (-7.633371150472769 53.25451689537456)
705,"Derrygarran, Clonbulloge, offaly",661170,720510,POINT (-7.083798876339173 53.23145539011839)
706,"Athleague Townland, Athleague, roscommon",575243,781713,POINT (-8.375663064850881 53.78439976874244)
707,"Demesne Td., Castlerea, roscommon",575243,781713,POINT (-8.375663064850881 53.78439976874244)
708,"Abbeytown, Ballisodare, sligo",564869,829503,POINT (-8.538586379929008 54.21322269676747)
709,"KILKILLOGE, MULLAGHMORE, sligo",569782,857491,POINT (-8.466105112546966 54.4650117313873)
710,"Dualla Road, Cashel, tipperary",607901,790989,POINT (-7.879870613571798 53.86828407584333)
711,"Donaskeigh, Tipperary, tipperary",599651,652230,POINT (-8.005154260002385 52.62130565142074)
712,"Monard, Monard, tipperary",602506,606118,POINT (-7.963335099649546 52.20682946409212)
713,"St. Johnstown, Fethard, tipperary",620438,634775,POINT (-7.699234713209616 52.46403528486402)
714,"Athnid More, Thurles, tipperary",615048,663508,POINT (-7.777247302546372 52.72246268377356)
715,"Lackamore, Clashmore, waterford",614764,586207,POINT (-7.784854359566401 52.02766273808042)
716,"Scrahan, Kilmacthomas, waterford",641052,606481,POINT (-7.399348322997009 52.2085695308755)
717,"Glen Upper , Cappagh , waterford",618127,598722,POINT (-7.735183201603935 52.14005734182614)
718,"Ballybrennock, Dunhill, waterford",651679,604076,POINT (-7.244239428043174 52.18605990054505)
719,"Macetown, Cloughan, Mullingar, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
720,"Sonna Demesne, Slanemore,, Mullingar., westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
721,"Creeve, Mount Temple, Moate, westmeath",614643,742895,POINT (-7.77962894491498 53.43594593463198)
722,"Ballyglass, Rathconrath, westmeath",631025,753949,POINT (-7.532001211865681 53.53457259602781)
723,"Lough Sheever Business Park, Mullingar, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
724,"Park, Bree,, Enniscorthy, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
725,"Mangan, Killann, wexford",688493,642894,POINT (-6.695754324215259 52.53020734865961)
726,"Oulart, Oulart, wexford",708213,640128,POINT (-6.406123896711121 52.50179716700605)
727,"Rathgaroge, Whitemoor, New Ross, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
728,"Boley, Ballycullane, New Ross, wexford",679127,614399,POINT (-6.840494919906162 52.27557712775632)
729,"Churchtown, Slade, wexford",691070,794206,POINT (-6.6146080069523 53.88925880177418)
730,"ferrycarrig, ferrycarrig, wexford",701231,623632,POINT (-6.51391739432797 52.35491610248013)
731,"Forrestalstown, Castleboro, wexford",684505,636255,POINT (-6.756200691396002 52.47118165557208)
732,"Gorey Hill, Gorey Corporation lands, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
733,"Coolbeg, Wicklow, wicklow",727222,690933,POINT (-6.106618201140649 52.95407778949689)
734,"Coollboy, Tinahely, wicklow",701162,673760,POINT (-6.499627697413225 52.80533088182785)
735,"Raheenglass, Coolboy, wicklow",704494,668759,POINT (-6.451824671365106 52.75976451769527)
736,"Carrigacurra, Blessington, wicklow",699784,705429,POINT (-6.51031292448109 53.09011792987619)
737,"KILLARNEY ROAD, BRAY, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
738,"Garrettstown House, Rathvilly, Rathvilly, carlow",687771,681663,POINT (-6.696048720093255 52.87868648823565)
739,"Chapel Street, Ballon , carlow",682249,664689,POINT (-6.782332724375011 52.72703521234256)
740,"Drim, Quin, clare",540649,676430,POINT (-8.88085040408847 52.83554431517003)
741,"Ballyellery, Lahinch, clare",508361,689571,POINT (-9.363628293963238 52.94909550312059)
742,"Runard, Clonlara, clare",529487,679574,POINT (-9.047161723654614 52.86245231921442)
743,"Killee, Mitchelstown, cork",576616,613155,POINT (-8.342611141513217 52.26959101141718)
744,"Gortnamucky, Carrigtwohill, cork",582186,574779,POINT (-8.258997738140216 51.92484777123846)
745,"Willowbank,, Rochestown Road, Douglas, cork",571371,567600,POINT (-8.415637618179607 51.85986544862972)
746,"Ballingarrane,, Shanagarry, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
747,"Colligboy, , Timoleague, cork",545094,543864,POINT (-8.793351483490913 51.64454844500077)
748,"The Hamlet, Coolkellure, Lehenaghmore, Cork, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
749,"Forest Hill, Carrigaline, cork",575445,558776,POINT (-8.355866905138653 51.78073986560651)
750,"commons east, cloyne, cork",592155,567470,POINT (-8.113892747834401 51.8593758908748)
751,"Brahalish, Durrus, Bantry, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
752,"Crowbally, Mogeely, cork",595555,577480,POINT (-8.06466108079923 51.94939442289279)
753,"Clarkes Hill, Rochestown, cork",675126,625164,POINT (-6.89670836392701 52.37288130149101)
754,"Gilcagh, Vicarstown, cork",554578,578727,POINT (-8.660891673602647 51.95876690750161)
755,"Shrone, Glengarriff, cork",492116,555821,POINT (-9.562310064310868 51.74433105845504)
756,"Cabra Brook, Churchill, donegal",608583,914343,POINT (-7.865932001108762 54.97664379137955)
757,"Magheraroarty, Gortahork, donegal",588325,932308,POINT (-8.18310045701258 55.13798415876078)
758,"Main Street, Creeslough, donegal",604357,927757,POINT (-7.931738223215925 55.09721514671821)
759,"Kilrean Lower, Glenties, donegal",577616,892231,POINT (-8.347923553180969 54.77755077777419)
760,"camblestown, letterkenny, donegal",620993,914545,POINT (-7.67207327919103 54.978090519254)
761,"Corracramp, Barnesmore, Lifford, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
762,"Violet Farm,Dundrum Rd, Milltown, carlow",650017,741657,POINT (-7.247494057173001 53.42265306428873)
763,"Ballyloughaun Road, Rennmore, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
764,"Loughgeorge, Claregalway, galway",533978,734009,POINT (-8.991667952465894 53.35217221280891)
765,"Maum, Clifden, galway",463906,748527,POINT (-10.04988322203648 53.46917921084545)
766,"Cahercrea East, Loughrea, galway",559460,714637,POINT (-8.606484215456716 53.18065135211932)
767,"Bolag, Woodford, galway",573978,700166,POINT (-8.388126860624915 53.05150713718827)
768,"Doon East, Roscahill, galway",487104,643163,POINT (-9.663851282048041 52.5281158863755)
769,"monksfield, craughwell, galway",550583,714872,POINT (-8.73931070998259 53.18201314886711)
770,"Ballynabucky, Kilcolgan, galway",543529,717491,POINT (-8.845294200859289 53.20484638838175)
771,"derrygimla, ballyconneely, clifden, galway",462434,744127,POINT (-10.07011602713608 53.42928100204578)
772,"Pollroebuck , Loughrea, galway",560847,716646,POINT (-8.585981796106683 53.19880943785827)
773,"Beenateevaun, Currow, kerry",497952,600270,POINT (-9.491016111583903 52.14484459168217)
774,"Curraghmore East , Firies, Killarney , kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
775,"Ballyoughtragh North, Milltown, kerry",482735,600160,POINT (-9.713212038858469 52.14083682072572)
776,"Mercy Mounthawk School, Tralee, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
777,"Ardrass, Celbridge, kildare",527937,811897,POINT (-9.100496523983642 54.05118874570121)
778,"Laraghbryan East & Maynooth Townland, Maynooth, kildare",693661,737030,POINT (-6.592409558812937 53.37514282190008)
779,"Burnchurch, Kilkenny, kilkenny",647795,647806,POINT (-7.294800147057962 52.57944293713788)
780,"Cappagh, Inistioge, Kilkenny",666109,623397,POINT (-7.029457021680184 52.35816288231566)
781,"N/A, Wallslough, kilkenny",655034,651555,POINT (-7.187378757905013 52.61245166911024)
782,"Lisdowney, Ballyragget, kilkenny",639569,670534,POINT (-7.413434304851449 52.78437061186604)
783,"Newtown, Crettyard, laois",641777,771723,POINT (-7.367438460186621 53.69354465099326)
784,"Mayo Td., Ballinamore, leitrim",610787,811385,POINT (-7.835270161575465 54.05150983988736)
785,"Baggotstown, Bruff, limerick",565890,635184,POINT (-8.501997332318714 52.46702873554588)
786,"Newline, Rathkeale, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
787,"Golf Links Road, Castletroy, Limerick, limerick",562516,658234,POINT (-8.554255961339033 52.67397382098835)
788,"Lower Main Street, Rathkeale, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
789,"Athlone Road, Ballymahon, longford",613691,757644,POINT (-7.793312364753055 53.56851534279034)
790,"Fereghfad, Longford, longford",618421,774914,POINT (-7.720883338911433 53.7235652190408)
791,"Ballydonnell, , Termonfeckin, louth",712745,781382,POINT (-6.289726148524386 53.76981458599977)
792,"Newport Road, Castlebar, mayo",511244,799206,POINT (-9.351651330446847 53.93457765877444)
793,"Rausakeera South, , kilmaine, mayo",525281,761328,POINT (-9.128768783117014 53.59647662942351)
794,"Rahans/Rathnaconeen, Ballina, mayo",572840,673176,POINT (-8.40284170679292 52.80888238876684)
795,"Cloonan, Islandeady, Castlebar, mayo",508425,787493,POINT (-9.391069756471145 53.82886369984014)
796,"Arodstown / Moynalvey, Summerhill, meath",683694,749243,POINT (-6.738912985583564 53.48654401982947)
797,"Harristown, Kilcloon, meath",687749,710358,POINT (-6.688582935948094 53.13651747816831)
798,"Marvelstown, Carlanstown, meath",680036,782841,POINT (-6.785375739799084 53.78897331795259)
799,"Drumacaslan, Ballinode, monaghan",662254,833112,POINT (-7.044897967347293 54.24307157316677)
800,"Cappancur, Tullamore, offaly",636881,725212,POINT (-7.447029002722735 53.2759516422681)
801,"Cornabanny, Cloonfad, roscommon",551293,771471,POINT (-8.737442865396135 53.6906802672678)
802,"Carricknagat, Ballysadare, sligo",567260,827364,POINT (-8.501699148152575 54.19416141571261)
803,"Rathippon, Collooney, sligo",569000,826041,POINT (-8.474900620668548 54.18238187987168)
804,"Boherclough Street, Cashel, tipperary",607901,790989,POINT (-7.879870613571798 53.86828407584333)
805,"Lyrefune , Ballyporeen, tipperary",591549,610280,POINT (-8.123749094782713 52.2441809977833)
806,"Clonmel inner relief road, Clonmel, tipperary",599651,652230,POINT (-8.005154260002385 52.62130565142074)
807,"Ballyduff, Dungarvan, waterford",618141,691915,POINT (-7.729882604825086 52.97767806367133)
808,"Graiguenageeha, Kilmacthomas, waterford",640116,607574,POINT (-7.412913103651406 52.2184625165115)
809,"Clonea Road, Dungarvan, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
810,"Ballysaggart Beg (West), Lismore, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
811,"Kealfoun, Kilmacthomas, waterford",635999,607600,POINT (-7.473158610554886 52.21898052226955)
812,"Taughmon School, Taughmon, Mullingar, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
813,"Dublin Bridge, Mullingar, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
814,"Athlone Town Shopping Centre, Athlone, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
815,"Galbally, Ballyhogue, wexford",691860,628855,POINT (-6.65001044909689 52.40349914489846)
816,"Kilbraney, Newbawn, New Ross, wexford",682904,621839,POINT (-6.78332920868156 52.3418801996249)
817,"Killybegs, Ballylarkin, wexford",719989,667085,POINT (-6.222976673444101 52.74150882539826)
818,"Rathjarney, Killinick, wexford",703373,614970,POINT (-6.485144670210824 52.2766854889145)
819,"Newtown, Ballinteskin, wicklow",707879,765439,POINT (-6.369053828460639 53.62763284421797)
820,"Knockkieran Lower, Blessington, wicklow",703415,712702,POINT (-6.453782927842385 53.1547678723935)
821,"Moorspark, Knockanarrigan, wicklow",695750,694249,POINT (-6.573835404956235 52.99040852808798)
822,"Drumelis, Cavan, cavan",640043,806026,POINT (-7.38922136340764 54.00191555592657)
823,"The Venue Bar, Blackrock Road, Ballintemple, cork",534327,728974,POINT (-8.985383569888723 53.30697305126199)
824,"Donnybrook Cottages , Douglas, cork",571371,567600,POINT (-8.415637618179607 51.85986544862972)
825,"Lissaniska, Cullen, Mallow, cork",567408,558232,POINT (-8.472289497323764 51.77543960776266)
826,"Caher, Bantry, Bantry, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
827,"Maryborough Avenue, Douglas, cork",571371,567600,POINT (-8.415637618179607 51.85986544862972)
828,"Loughnagin Td., Letterkenny, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
829,"Golard, Laghey, donegal",596802,875026,POINT (-8.049519667659894 54.6234544611686)
830,"MEENDACALLIAGH, BUNCRANA, donegal",642187,936403,POINT (-7.337789695031645 55.17311402974824)
831,"Grove Lodge, Killiney, carlow",677668,663717,POINT (-6.850367224089521 52.71897764139238)
832,"St Brigits Rd, Portumna, galway",581922,705333,POINT (-8.269931439699997 53.09827171483226)
833,"Leitrim More, Loughrea, galway",568085,712256,POINT (-8.477221073183619 53.15984054872206)
834,"Chapel Lane, Dingle, kerry",445188,601138,POINT (-10.26180276682758 52.14038109505393)
835,"Ballydowney, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
836,"Primrose Hill, Celbridge, kildare",696055,733296,POINT (-6.557576929012339 53.34116678754172)
837,"Knocknagee, Castledermot, kildare",674984,679994,POINT (-6.886357791662308 52.86562243456255)
838,"Hillbrook House, Gurteen Lower, Castlecomer, kilkenny",627196,623134,POINT (-7.600732342482967 52.35910980770313)
839,"Moneyduff, dromahaire, leitrim",595617,794462,POINT (-8.066690271581624 53.89953444508903)
840,"Plassey Park Drive roadway, Former Flextronics Facility, National Technology Park, Castletroy, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
841,"Knocklore, Ardee, louth",692871,795340,POINT (-6.58687589035445 53.89912670276298)
842,"Moneenbradagh, Castlebar, mayo",515723,790655,POINT (-9.281108395334758 53.85850491545893)
843,"Gortloney, Dramone, Oldcastle, meath",653791,779646,POINT (-7.184170782260447 53.76363768503595)
844,"Knocknagrave, Tydavnet, monaghan",662570,843218,POINT (-7.037936892132612 54.33382781181324)
